product_id	name	sku	url
500	USB Cable (A-Micro)	228-2785	https://www.vexrobotics.com/228-2785.html
565	Rubber Shaft Collar (30-Pack)	228-3510	https://www.vexrobotics.com/228-3510.html
912	Rubber Link (4-pack)	275-1029	https://www.vexrobotics.com/275-1029.html
923	Drive Shaft Bar Lock (8-pack)	275-1065	https://www.vexrobotics.com/275-1065.html
937	1 x 25 Steel Bar (8-pack)	275-1141	https://www.vexrobotics.com/275-1141.html
955	Adhesive Foam	275-1254	https://www.vexrobotics.com/275-1254.html
956	Hook & Loop Adhesive Strip (5')	275-1257	https://www.vexrobotics.com/275-1257.html
957	Cinch Strap (5-pack)	275-1258	https://www.vexrobotics.com/275-1258.html
958	Hook & Loop Strap (5')	275-1259	https://www.vexrobotics.com/275-1259.html
961	Latex Tubing (10')	275-1262	https://www.vexrobotics.com/275-1262.html
962	Hinge (2-pack)	275-1272	https://www.vexrobotics.com/275-1272.html
1014	15 x 30 Base Plate (2-pack)	276-1341	https://www.vexrobotics.com/276-1341.html
1038	Intake Roller (8-pack)	276-1499	https://www.vexrobotics.com/276-1499.html
1042	Winch and Pulley Kit	276-1546	https://www.vexrobotics.com/276-1546.html
1050	Coiled Handset Cable	276-1602	https://www.vexrobotics.com/276-1602.html
1063	VEXnet Joystick Power Adapter	276-1701	https://www.vexrobotics.com/276-1701.html
1070	Shaft Coupler (5-pack)	276-1843	https://www.vexrobotics.com/276-1843.html
1092	Robot AA Battery Holder	276-2036	https://www.vexrobotics.com/276-2036.html
1093	Advanced Mechanics and Motion Kit	276-2045	https://www.vexrobotics.com/276-2045.html
1095	Line Tracker (3-pack)	276-2154	https://www.vexrobotics.com/276-2154.html
1098	Light Sensor	276-2158	https://www.vexrobotics.com/276-2158.html
1099	Bumper Switch (2-pack)	276-2159	https://www.vexrobotics.com/276-2159.html
1100	Metal & Hardware Kit	276-2161	https://www.vexrobotics.com/276-2161.html
1109	Competition Cortex Wire Retaining Clips	276-2173	https://www.vexrobotics.com/276-2173.html
1110	Limit Switch (2-pack)	276-2174	https://www.vexrobotics.com/276-2174.html
1111	VEX Safety Glasses	276-2175	https://www.vexrobotics.com/276-2175.html
1112	LED Indicator Pack	276-2176	https://www.vexrobotics.com/276-2176.html
1119	Programming Hardware Kit	276-2186	https://www.vexrobotics.com/276-2186.html
